"","year","numbers"
"1","year1988","28"
"2","year1988","6"
"3","year1988","9"
"4","year1988","1"
"5","year1988","15"
"6","year1988","17"
"7","year1988","12"
"8","year1988","39"
"9","year1988","1"
"10","year1988","35"
"11","year1988","37"
"12","year1988","34"
"13","year1988","5"
"14","year1988","34"
"15","year1988","16"
"16","year1988","20"
"17","year1988","15"
"18","year1988","6"
"19","year1988","21"
"20","year1988","39"
"21","year1988","20"
"22","year1988","40"
"23","year1988","22"
"24","year1988","17"
"25","year1988","40"
"26","year1988","2"
"27","year1988","3"
"28","year1988","30"
"29","year1988","35"
"30","year1988","25"
"31","year1988","30"
"32","year1988","23"
"33","year1988","21"
"34","year1988","32"
"35","year1988","29"
"36","year1988","7"
"37","year1988","14"
"38","year1988","25"
"39","year1988","10"
"40","year1988","17"
"41","year1988","38"
"42","year1988","36"
"43","year1988","6"
"44","year1988","12"
"45","year1988","9"
"46","year1988","38"
"47","year1988","39"
"48","year1988","31"
"49","year1988","13"
"50","year1988","36"
"51","year1988","9"
"52","year1988","29"
"53","year1988","27"
"54","year1988","19"
"55","year1988","22"
"56","year1988","40"
"57","year1988","17"
"58","year1988","38"
"59","year1988","19"
"60","year1988","26"
"61","year1988","38"
"62","year1988","16"
"63","year1988","30"
"64","year1988","6"
"65","year1988","9"
"66","year1988","32"
"67","year1988","39"
"68","year1988","1"
"69","year1988","25"
"70","year1988","22"
"71","year1988","27"
"72","year1988","37"
"73","year1988","30"
"74","year1988","27"
"75","year1988","22"
"76","year1988","39"
"77","year1988","34"
"78","year1988","19"
"79","year1988","23"
"80","year1988","28"
"81","year1988","3"
"82","year1988","2"
"83","year1988","18"
"84","year1988","20"
"85","year1988","21"
"86","year1988","8"
"87","year1988","1"
"88","year1988","36"
"89","year1988","2"
"90","year1988","12"
"91","year1988","5"
"92","year1988","34"
"93","year1988","36"
"94","year1988","32"
"95","year1988","8"
"96","year1988","23"
"97","year1988","36"
"98","year1988","12"
"99","year1988","9"
"100","year1988","5"
"101","year1988","40"
"102","year1988","10"
"103","year1988","29"
"104","year1988","12"
"105","year1988","3"
"106","year1988","23"
"107","year1988","37"
"108","year1988","11"
"109","year1988","16"
"110","year1988","13"
"111","year1988","7"
"112","year1988","18"
"113","year1988","22"
"114","year1988","37"
"115","year1988","12"
"116","year1988","6"
"117","year1988","5"
"118","year1988","27"
"119","year1988","9"
"120","year1988","29"
"121","year1988","31"
"122","year1988","38"
"123","year1988","16"
"124","year1988","20"
"125","year1988","11"
"126","year1988","23"
"127","year1988","1"
"128","year1988","39"
"129","year1988","29"
"130","year1988","16"
"131","year1988","22"
"132","year1988","40"
"133","year1988","22"
"134","year1988","34"
"135","year1988","18"
"136","year1988","32"
"137","year1988","25"
"138","year1988","21"
"139","year1988","4"
"140","year1988","35"
"141","year1988","33"
"142","year1988","24"
"143","year1988","30"
"144","year1988","8"
"145","year1988","36"
"146","year1988","19"
"147","year1988","35"
"148","year1988","11"
"149","year1988","27"
"150","year1988","24"
"151","year1988","24"
"152","year1988","37"
"153","year1988","13"
"154","year1988","15"
"155","year1988","33"
"156","year1988","28"
"157","year1988","9"
"158","year1988","29"
"159","year1988","13"
"160","year1988","25"
"161","year1988","22"
"162","year1988","4"
"163","year1988","37"
"164","year1988","29"
"165","year1988","14"
"166","year1988","21"
"167","year1988","38"
"168","year1988","30"
"169","year1988","20"
"170","year1988","32"
"171","year1988","23"
"172","year1988","21"
"173","year1988","22"
"174","year1988","34"
"175","year1988","34"
"176","year1988","9"
"177","year1988","10"
"178","year1988","11"
"179","year1988","14"
"180","year1988","6"
"181","year1988","30"
"182","year1988","13"
"183","year1988","8"
"184","year1988","2"
"185","year1988","24"
"186","year1988","31"
"187","year1988","4"
"188","year1988","7"
"189","year1988","12"
"190","year1988","9"
"191","year1988","33"
"192","year1988","31"
"193","year1988","28"
"194","year1988","9"
"195","year1988","14"
"196","year1988","36"
"197","year1988","17"
"198","year1988","37"
"199","year1988","40"
"200","year1988","29"
"201","year1988","31"
"202","year1988","8"
"203","year1988","14"
"204","year1988","24"
"205","year1988","2"
"206","year1988","3"
"207","year1988","11"
"208","year1988","12"
"209","year1988","34"
"210","year1988","25"
"211","year1988","20"
"212","year1988","27"
"213","year1988","30"
"214","year1988","3"
"215","year1988","2"
"216","year1988","24"
"217","year1988","7"
"218","year1988","17"
"219","year1988","11"
"220","year1988","19"
"221","year1988","37"
"222","year1988","36"
"223","year1988","29"
"224","year1988","14"
"225","year1988","8"
"226","year1988","38"
"227","year1988","13"
"228","year1988","39"
"229","year1988","39"
"230","year1988","21"
"231","year1988","2"
"232","year1988","8"
"233","year1988","6"
"234","year1988","23"
"235","year1988","34"
"236","year1988","22"
"237","year1988","5"
"238","year1988","31"
"239","year1988","11"
"240","year1988","27"
"241","year1988","1"
"242","year1988","20"
"243","year1988","8"
"244","year1988","39"
"245","year1988","27"
"246","year1988","30"
"247","year1988","2"
"248","year1988","7"
"249","year1988","18"
"250","year1988","20"
"251","year1988","40"
"252","year1988","12"
"253","year1988","19"
"254","year1988","39"
"255","year1988","7"
"256","year1988","14"
"257","year1988","3"
"258","year1988","24"
"259","year1988","32"
"260","year1988","20"
"261","year1988","24"
"262","year1988","30"
"263","year1988","16"
"264","year1988","33"
"265","year1988","14"
"266","year1988","34"
"267","year1988","10"
"268","year1988","17"
"269","year1988","11"
"270","year1988","5"
"271","year1988","35"
"272","year1988","39"
"273","year1988","40"
"274","year1988","37"
"275","year1988","15"
"276","year1988","6"
"277","year1988","21"
"278","year1988","24"
"279","year1988","32"
"280","year1988","22"
"281","year1988","25"
"282","year1988","31"
"283","year1988","23"
"284","year1988","13"
"285","year1988","10"
"286","year1988","3"
"287","year1988","15"
"288","year1988","33"
"289","year1988","14"
"290","year1988","28"
"291","year1988","7"
"292","year1988","29"
"293","year1988","3"
"294","year1988","5"
"295","year1988","7"
"296","year1988","15"
"297","year1988","24"
"298","year1988","38"
"299","year1988","27"
"300","year1988","39"
"301","year1988","12"
"302","year1988","16"
"303","year1988","34"
"304","year1988","29"
"305","year1988","8"
"306","year1988","5"
"307","year1988","35"
"308","year1988","31"
"309","year1988","9"
"310","year1988","22"
"311","year1988","34"
"312","year1988","12"
"313","year1988","40"
"314","year1988","38"
"315","year1988","26"
"316","year1988","13"
"317","year1988","17"
"318","year1988","27"
