"","year","numbers","Proportion"
"1","year1988","1",0.0216049382716049
"2","year1989","1",0.0277777777777778
"3","year1990","1",0.0277777777777778
"4","year1991","1",0.0462962962962963
"5","year1992","1",0.0277777777777778
"6","year1993","1",0.0277777777777778
"7","year1994","1",0.0308641975308642
"8","year1995","1",0.0339506172839506
"9","year1996","1",0.0277777777777778
"10","year1997","1",0.0277777777777778
"11","year1998","1",0.0339506172839506
"12","year1999","1",0.0216049382716049
"13","year2000","1",0.0339506172839506
"14","year2001","1",0.0216049382716049
"15","year2002","1",0.0277777777777778
"16","year2003","1",0.037037037037037
"17","year2004","1",0.0308641975308642
"18","year2005","1",0.0277777777777778
"19","year2006","1",0.0216049382716049
"20","year1988","2",0.0246913580246914
"21","year1989","2",0.0246913580246914
"22","year1990","2",0.0339506172839506
"23","year1991","2",0.0123456790123457
"24","year1992","2",0.0154320987654321
"25","year1993","2",0.0216049382716049
"26","year1994","2",0.0154320987654321
"27","year1995","2",0.0246913580246914
"28","year1996","2",0.0246913580246914
"29","year1997","2",0.0277777777777778
"30","year1998","2",0.0308641975308642
"31","year1999","2",0.0246913580246914
"32","year2000","2",0.0277777777777778
"33","year2001","2",0.0339506172839506
"34","year2002","2",0.037037037037037
"35","year2003","2",0.0185185185185185
"36","year2004","2",0.0246913580246914
"37","year2005","2",0.0185185185185185
"38","year2006","2",0.0216049382716049
"39","year1988","3",0.0246913580246914
"40","year1989","3",0.0277777777777778
"41","year1990","3",0.0277777777777778
"42","year1991","3",0.0216049382716049
"43","year1992","3",0.0339506172839506
"44","year1993","3",0.0277777777777778
"45","year1994","3",0.00617283950617284
"46","year1995","3",0.0277777777777778
"47","year1996","3",0.0216049382716049
"48","year1997","3",0.0246913580246914
"49","year1998","3",0.0246913580246914
"50","year1999","3",0.0339506172839506
"51","year2000","3",0.0308641975308642
"52","year2001","3",0.0432098765432099
"53","year2002","3",0.0339506172839506
"54","year2003","3",0.0308641975308642
"55","year2004","3",0.0154320987654321
"56","year2005","3",0.0123456790123457
"57","year2006","3",0.0216049382716049
"58","year1988","4",0.00925925925925926
"59","year1989","4",0.0246913580246914
"60","year1990","4",0.037037037037037
"61","year1991","4",0.0123456790123457
"62","year1992","4",0.0216049382716049
"63","year1993","4",0.0308641975308642
"64","year1994","4",0.0185185185185185
"65","year1995","4",0.0401234567901235
"66","year1996","4",0.0123456790123457
"67","year1997","4",0.0216049382716049
"68","year1998","4",0.0216049382716049
"69","year1999","4",0.0216049382716049
"70","year2000","4",0.0216049382716049
"71","year2001","4",0.0246913580246914
"72","year2002","4",0.0185185185185185
"73","year2003","4",0.0154320987654321
"74","year2004","4",0.0246913580246914
"75","year2005","4",0.0277777777777778
"76","year2006","4",0.0246913580246914
"77","year1988","5",0.0246913580246914
"78","year1989","5",0.0216049382716049
"79","year1990","5",0.0154320987654321
"80","year1991","5",0.037037037037037
"81","year1992","5",0.0401234567901235
"82","year1993","5",0.0216049382716049
"83","year1994","5",0.0185185185185185
"84","year1995","5",0.0339506172839506
"85","year1996","5",0.0339506172839506
"86","year1997","5",0.0154320987654321
"87","year1998","5",0.0277777777777778
"88","year1999","5",0.0185185185185185
"89","year2000","5",0.0246913580246914
"90","year2001","5",0.0185185185185185
"91","year2002","5",0.0246913580246914
"92","year2003","5",0.0123456790123457
"93","year2004","5",0.0185185185185185
"94","year2005","5",0.0308641975308642
"95","year2006","5",0.0185185185185185
"96","year1988","6",0.0277777777777778
"97","year1989","6",0.0339506172839506
"98","year1990","6",0.0277777777777778
"99","year1991","6",0.0216049382716049
"100","year1992","6",0.0277777777777778
"101","year1993","6",0.0277777777777778
"102","year1994","6",0.0246913580246914
"103","year1995","6",0.0123456790123457
"104","year1996","6",0.0246913580246914
"105","year1997","6",0.0246913580246914
"106","year1998","6",0.0277777777777778
"107","year1999","6",0.0154320987654321
"108","year2000","6",0.0216049382716049
"109","year2001","6",0.0339506172839506
"110","year2002","6",0.0123456790123457
"111","year2003","6",0.0277777777777778
"112","year2004","6",0.0246913580246914
"113","year2005","6",0.0246913580246914
"114","year2006","6",0.0246913580246914
"115","year1988","7",0.0246913580246914
"116","year1989","7",0.0216049382716049
"117","year1990","7",0.0246913580246914
"118","year1991","7",0.0308641975308642
"119","year1992","7",0.0246913580246914
"120","year1993","7",0.0432098765432099
"121","year1994","7",0.0432098765432099
"122","year1995","7",0.0308641975308642
"123","year1996","7",0.0185185185185185
"124","year1997","7",0.0339506172839506
"125","year1998","7",0.037037037037037
"126","year1999","7",0.0216049382716049
"127","year2000","7",0.0185185185185185
"128","year2001","7",0.0339506172839506
"129","year2002","7",0.0277777777777778
"130","year2003","7",0.0154320987654321
"131","year2004","7",0.0339506172839506
"132","year2005","7",0.00925925925925926
"133","year2006","7",0.037037037037037
"134","year1988","8",0.0277777777777778
"135","year1989","8",0.0123456790123457
"136","year1990","8",0.0339506172839506
"137","year1991","8",0.0216049382716049
"138","year1992","8",0.0308641975308642
"139","year1993","8",0.0277777777777778
"140","year1994","8",0.0246913580246914
"141","year1995","8",0.0308641975308642
"142","year1996","8",0.0308641975308642
"143","year1997","8",0.0185185185185185
"144","year1998","8",0.0432098765432099
"145","year1999","8",0.0216049382716049
"146","year2000","8",0.0277777777777778
"147","year2001","8",0.037037037037037
"148","year2002","8",0.0216049382716049
"149","year2003","8",0.0185185185185185
"150","year2004","8",0.0401234567901235
"151","year2005","8",0.0277777777777778
"152","year2006","8",0.0154320987654321
"153","year1988","9",0.037037037037037
"154","year1989","9",0.0154320987654321
"155","year1990","9",0.0123456790123457
"156","year1991","9",0.0123456790123457
"157","year1992","9",0.0154320987654321
"158","year1993","9",0.0185185185185185
"159","year1994","9",0.0308641975308642
"160","year1995","9",0.0246913580246914
"161","year1996","9",0.0277777777777778
"162","year1997","9",0.0339506172839506
"163","year1998","9",0.0339506172839506
"164","year1999","9",0.0185185185185185
"165","year2000","9",0.0277777777777778
"166","year2001","9",0.0401234567901235
"167","year2002","9",0.0185185185185185
"168","year2003","9",0.0216049382716049
"169","year2004","9",0.0339506172839506
"170","year2005","9",0.0308641975308642
"171","year2006","9",0.0246913580246914
"172","year1988","10",0.0154320987654321
"173","year1989","10",0.0277777777777778
"174","year1990","10",0.0277777777777778
"175","year1991","10",0.0277777777777778
"176","year1992","10",0.0246913580246914
"177","year1993","10",0.0216049382716049
"178","year1994","10",0.0339506172839506
"179","year1995","10",0.00925925925925926
"180","year1996","10",0.0277777777777778
"181","year1997","10",0.0277777777777778
"182","year1998","10",0.0308641975308642
"183","year1999","10",0.0246913580246914
"184","year2000","10",0.0308641975308642
"185","year2001","10",0.0154320987654321
"186","year2002","10",0.0246913580246914
"187","year2003","10",0.0308641975308642
"188","year2004","10",0.0277777777777778
"189","year2005","10",0.0154320987654321
"190","year2006","10",0.037037037037037
"191","year1988","11",0.0246913580246914
"192","year1989","11",0.0277777777777778
"193","year1990","11",0.0246913580246914
"194","year1991","11",0.0277777777777778
"195","year1992","11",0.0123456790123457
"196","year1993","11",0.0123456790123457
"197","year1994","11",0.0185185185185185
"198","year1995","11",0.0154320987654321
"199","year1996","11",0.037037037037037
"200","year1997","11",0.0154320987654321
"201","year1998","11",0.0339506172839506
"202","year1999","11",0.0185185185185185
"203","year2000","11",0.0185185185185185
"204","year2001","11",0.0277777777777778
"205","year2002","11",0.0246913580246914
"206","year2003","11",0.0246913580246914
