"","Country","year","cases"
"1","Australia",1995,2.44000005722046
"2","Canada",1995,6.83769989013672
"3","New Zealand",1995,1.62000000476837
"4","United States",1995,2.84470009803772
"5","Australia",1996,3.26
"6","Canada",1996,7.02409982681274
"7","New Zealand",1996,1.45
"8","United States",1996,2.66700005531311
"9","Australia",1997,4.07999992370605
"10","Canada",1997,6.45919990539551
"11","New Zealand",1997,1.27999997138977
"12","United States",1997,2.29509997367859
"13","Australia",1998,3.63000011444092
"14","Canada",1998,5.74669981002808
"15","New Zealand",1998,1.6
"16","United States",1998,2.06279993057251
"17","Australia",1999,3.64
"18","Canada",1999,5.29549980163574
"19","New Zealand",1999,1.91999995708466
"20","United States",1999,2.11649990081787
"21","Australia",2000,3.65000009536743
"22","Canada",2000,4.70429992675781
"23","New Zealand",2000,2
"24","United States",2000,1.93410003185272
"25","Australia",2001,3.35999989509583
"26","Canada",2001,5.32229995727539
"27","New Zealand",2001,2.23000001907349
"28","United States",2001,2.56319999694824
"29","Australia",2002,3.46000003814697
"30","Canada",2002,5.60669994354248
"31","New Zealand",2002,2.40000009536743
"32","United States",2002,3.3283998966217
"33","Australia",2003,3.59999990463257
"34","Canada",2003,5.63859987258911
"35","New Zealand",2003,3.49
"36","United States",2003,3.45589995384216
"37","Australia",2004,3.25
"38","Canada",2004,5.31519985198975
"39","New Zealand",2004,4.57000017166138
"40","United States",2004,3.09920001029968
"41","Australia",2005,3.01999998092651
"42","Canada",2005,5.03630018234253
"43","New Zealand",2005,3.90000009536743
"44","United States",2005,2.71070003509521
"45","Australia",2006,2.30999994277954
"46","Canada",2006,4.65560007095337
"47","New Zealand",2006,2.9300000667572
"48","United States",2006,2.42659997940063
"49","Australia",2007,2.36999988555908
"50","Canada",2007,4.39599990844727
"51","New Zealand",2007,2.60999989509583
"52","United States",2007,2.41969990730286
"53","Australia",2008,2.47000002861023
"54","Canada",2008,4.54320001602173
"55","New Zealand",2008,2.95000004768372
"56","United States",2008,3.01309990882874
"57","Australia",2009,3.65000009536743
"58","Canada",2009,6.17579984664917
"59","New Zealand",2009,4.15999984741211
"60","United States",2009,5.3371000289917
"61","Australia",2010,3.01999998092651
"62","Canada",2010,5.96600008010864
"63","New Zealand",2010,4.55999994277954
"64","United States",2010,5.47429990768433
"65","Australia",2011,3.16000008583069
"66","Canada",2011,5.5391001701355
"67","New Zealand",2011,4.23000001907349
"68","United States",2011,5.13590002059937
"69","Australia",2012,3.02999997138977
"70","Canada",2012,5.48509979248047
"71","New Zealand",2012,4.78999996185303
"72","United States",2012,4.74109983444214
"73","Australia",2013,3.42000007629395
"74","Canada",2013,5.23909997940063
"75","New Zealand",2013,3.97000002861023
"76","United States",2013,4.32200002670288
